Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
Mangia! Mangia! (World Snacks Series),Mangia! Mangia!,['Amy Wilson Sanger'],,2005,Illustrations and rhyming text introduce Italian foods and terminology. On board pages.,20.0,BOOK,['Juvenile Nonfiction'],,,en
Ella Enchanted: A Newbery Honor Award Winner (Trophy Newbery),Ella Enchanted,['Gail Carson Levine'],Harper Collins,2012-12-26,"This beloved Newbery Honor-winning story about a feisty heroine is sure to enchant readers new and old. At her birth, Ella of Frell receives a foolish fairy's gift—the “gift” of obedience. Ella must obey any order, whether it's to hop on one foot for a day and a half, or to chop off her own head! But strong-willed Ella does not accept her fate... Against a bold backdrop of princes, ogres, giants, wicked stepsisters, and fairy godmothers, Ella goes on a quest to break the curse forever. A tween favorite for 25 years—now shared with today's young readers by moms, teachers, and other adults who remember the pleasure of discovering this fun fairy-tale retelling themselves!",276.0,BOOK,['Juvenile Fiction'],4.5,8.0,en
Walk Two Moons (Trophy Newbery),Walk Two Moons,['Sharon Creech'],Perfection Learning,1996-09,"On a long car trip from Ohio to Idaho, 13-year-old Salamanca Tree Hiddle regales her grandparents with a story about her friend Phoebe, who receives a message from a potential lunatic and must cope with the disappearance of her mother. Beneath Phoebe's story is Sal's own--and her seach for her own mother who left for Idaho one sunny morning and never returned. 1995 Newery Medal winner. ALA Notable Children's Book of 1995. School Library Journal Best Books of the Year, 1994. 1995 Notable Trade Books in the Language Arts.",0.0,BOOK,[],,,en
Curious George Visits the Library,Curious George Visits the Library,"['Margret Rey', 'Hans Augusto Rey']",ABDO,2008,"When Curious George visits the library he becomes impatient waiting for the librarian to read the dinosaur book, and proceeds to gather all the books he wants to read and tries to leave.",28.0,BOOK,['Juvenile Fiction'],,,en
My First Book of Sea Animals,My First Book of Sea Animals,['Wonder House Books'],Wonder House Books,2018-04-25,The first learning library of 20 board books to develop basic concepts for little scholars. Its well-researched pictures ensure faster development of a child's vocabulary.,0.0,BOOK,['Identification'],,,en
Angel on Assignment - An Angelic Tradition,Angel on Assignment,['Wanda Carter Roush'],,2018-12-07,,40.0,BOOK,[],5.0,1.0,en
River's New Friend (River & Willow's Storytime),The River's Destiny,['Barney McMillan'],Dorrance Publishing,2009-12,,227.0,BOOK,['Poetry'],,,en
Around the World: Bishoy Chooses Bravery — Egypt,QUEEN OF EGYPT,['RUBY.K GOLD'],RUBY.K GOLD,,"Namsu was a prince, but his childhood was spent living in a small home of a pyramid builder. His real father, Pharoah Aa-ton, was a tyrant, and his sorcerers predicted that he would die at his son's hand. That is why he ordered the killing of all male newborns in his palace. To save his life, Namsu's mother, Queen Nefertiti, hid him from the Pharoah. His best friend from his childhood betrays him... He becomes immortal by a strange event. He wondered how this could happen? Can he live forever? And death will never come to him? To test this, he took a dagger and scratched his arm… This book is the first in a series, full of Action, Adventure, Black Magic, Bravery, Fairy Tales, Fantasy, Good vs Evil, Heroism, Horror, Mystery, Mysticism, Myths, Mythological Creatures and Characters, Paranormal, Science Fiction, thriller, Selflessness, Time Travel, White Magic Etc... and a lot more surprises to come. Second book of this series is already published and it is called ""Pharao's Destruction.""",92.0,BOOK,['Young Adult Fiction'],,,en
Daniel and the Very Hungry Lions,Daniel and the Very Hungry Lions,['Tim Thornborough'],Classic Kid's Stories,2019-11,"In this faithful and fun retelling of a classic Bible story, young children will learn about how God protected Daniel from the very hungry lions and how King Darius learned that God is the one true God who lives for ever.",,BOOK,['Religion'],,,en
The BFG,The BFG (Colour Edition),['Roald Dahl'],Penguin UK,2016-09-13,"'Human beans is not really believing in giants, is they? Human beans is not thinking we exist.' On a dark, silvery moonlit night, Sophie is snatched from her bed by a giant. Luckily it is the Big Friendly Giant, the BFG, who only eats snozzcumbers and glugs frobscottle. But there are other giants in Giant Country. Fifty foot brutes who gallop far and wide every night to find human beans to eat. Can Sophie and her friend the BFG stop them?",232.0,BOOK,['Juvenile Fiction'],4.0,19.0,en
The Mouse and the Motorcycle,The Mouse and the Motorcycle,['Beverly Cleary'],Scholastic,1965,A reckless young mouse named Ralph makes friends with a boy in room 2 15 of the Mountain View Inn and discovers the joys of motorcycling.,164.0,BOOK,['Bars (Drinking establishments)'],,,en
I Am a Big Sister (Caroline Jayne Church),I Am a Big Sister,['Caroline Jayne Church'],Scholastic Inc.,2015-01-27,"Share the joys of becoming a big sister! With the arrival of a new baby comes many transitions, and big sisters may need a little extra tender loving care to adjust to a new family situation. This sweet story with adorable toddler illustrations by Caroline Jayne Church is just right to share with and prepare an older sister getting ready for an expanding family.",24.0,BOOK,['Juvenile Fiction'],,,en
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Caps for Sale,[],,1987,"A peddler, whose caps are stolen by monkeys, finds a way to outwit them and get his caps back.",48.0,BOOK,"[""Children's stories, American""]",,,en
"77 Bible Activities for Kids, Ages 5-8 (77 for Kids Editions)",God Is Great,['Karen Wingate'],Tyndale House Publishers,2013-04,"Easily use 5-Minute Bible Activities any time--Whether before, during, or after your Bible lesson! Engage kids with quick and easy-to-use Sunday School activities accompanied by valuable reproducible lessons to strengthen their relationship with God! Features over 40 quick-prep Bible lessons, activities and unique crafts perfect for ages 5-10. Fully-reproducible. 96 pages. Enjoy having over dozens of Bible activities on the awesome power of faith at your fingertips! Packed with great Bible crafts and Sunday School activities, this full-reproducible Bible activity book has everything you need to engage your students in meaningful ways that will strengthen their faith in God--and each Bible activity takes less than 5 minutes! Each Bible craft and activity includes a Bible lesson, step-by-step instructions, and reproducible patterns. Use for Kids Sunday school, VBS, homeschool or anytime you want to make a valuable impression on your kids. Get all 7 books in this incredible series! Help your kids understand the awesome role God plays in their lives every single day with fun games, crafts, and activities! 5-Minute Sunday School Activities: God is Great will excite your students about God as King, Judge, and Savior in their lives. Includes memory verses and age-appropriate crafts to illustrate important Bible lessons and help students apply these values to their everyday lives. Each Bible Activity Includes: WHAT YOU NEED: (A material list of everyday supplies) BEFORE CLASS: Helpful ideas for pre-craft preparation WHAT TO DO: A step-by-step guide to complete the Bible craft WHAT TO SAY: Teaching and talking points to help kids relate to the Bible lesson Note: Comes with a Bible lesson, memory verse, and discussion question for each craft. Whether you use them for Sunday School, kids church or in your home, easily share Scripture and stories from the Bible that will make a permanent impression on your students. 7 Key Features of the 5-Minute Bible Activities Series from Rainbow Publishers 1. Age-Appropriate Bible Activities! Super-easy crafts and activities to engage your students in important Bible lessons. Includes fun, kid-friendly discussion questions to get even the toughest kids thinking! 2. Packed with More than 40 Sunday School Activities and Bible Lessons! More than 40 lessons, crafts, and activities that teach meaningful Bible stories in just five minutes! Each of these Bible activities can be squeezed into any short window of time--Before your Sunday school lesson. In the last five minutes of class. During the snack break. As filler when the adult service is running late. And more! 3. Flexible and Fully-Customizable Sunday School Lessons (Includes ""Extra Time"" Suggestions) ""Extra Time"" suggestions are given for each activity, including engaging questions for group sharing, journaling ideas, and exciting games. Easily use these suggestion sections to turn each Bible activity into a complete lesson. 4. Easy-to-Use Format Step-by-step instructions and clear sections on ""What you Need,"" ""Before Class,"" and ""What to Do"" makes lessons easy-to-do! 5. Cut Down Prep-Time to Minutes! Enjoy prepping interactive Bible activities and crafts in a snap! Each action-packed Bible activity is perforated and fully-reproducible, making prep time as painless as the push of a button on your copier! 6. Quick and Easy Kids Craft Ideas Filled with simple instructions that can be explained in seconds so you can devote more time to teaching Bible stories. Loaded with original activities, unique crafts, and reflection exercises that kids can tackle on their own. 7. Budget-Friendly Sunday School Crafts Stocked with perforated, reproducible, and ready-made handouts. Templates for arts and crafts with household materials that are easy on the wallet!",101.0,BOOK,['Juvenile Nonfiction'],,,en
Uh-OH! My Dragon's Hungry,Uh-Oh! My Dragon's Hungry,['Katie Weaver'],,2024-09,"This beautifully illustrated and hilarious, rhyming story will take readers on fun adventure as a girl attempts to feed her Dragon all her favorite junk foods...but is that what Dragon wants to eat?",0.0,BOOK,['Juvenile Fiction'],,,en
The Gruffalo's Child,The Gruffalo's Child,['Julia Donaldson'],Dial,2005,The Gruffalo's Child goes out to find the Big Bad Mouse she has heard so much about.,40.0,BOOK,['Juvenile Fiction'],5.0,1.0,en
Children of Dune,Children of Dune,['Frank Herbert'],Penguin,2019-06-04,"Book Three in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All Time The Children of Dune are twin siblings Leto and Ghanima Atreides, whose father, the Emperor Paul Muad’Dib, disappeared in the desert wastelands of Arrakis nine years ago. Like their father, the twins possess supernormal abilities—making them valuable to their manipulative aunt Alia, who rules the Empire in the name of House Atreides. Facing treason and rebellion on two fronts, Alia’s rule is not absolute. The displaced House Corrino is plotting to regain the throne while the fanatical Fremen are being provoked into open revolt by the enigmatic figure known only as The Preacher. Alia believes that by obtaining the secrets of the twins’ prophetic visions, she can maintain control over her dynasty. But Leto and Ghanima have their own plans for their visions—and their destinies....",626.0,BOOK,['Fiction'],,,en
Never Touch a Porcupine!,Never Touch a Porcupine,['Rosie Greening'],,2019-11,You must never touch a porcupine... except in this book! This woodland-animal-themed touch-and-feel book is perfect for young children. They will love reading the funny rhymes that warn of the dangers of touching the animals... and then ignoring the advice!,12.0,BOOK,['Animals'],,,en
You Are My Sunshine (Caroline Jayne Church),You are My Sunshine,['Jimmie Davis'],Scholastic Inc.,2011,An illustrated version of the popular song 'You are my sunshine'.,7.0,BOOK,['Juvenile Nonfiction'],,,en
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Adult Children of Emotionally Immature Parents,['Lindsay C. Gibson'],New Harbinger  Publications,2015-06-01,"Now a New York Times bestseller! If you grew up with an emotionally immature, unavailable, or selfish parent, you may have lingering feelings of anger, loneliness, betrayal, or abandonment. You may recall your childhood as a time when your emotional needs were not met, when your feelings were dismissed, or when you took on adult levels of responsibility in an effort to compensate for your parent’s behavior. These wounds can be healed, and you can move forward in your life. In this breakthrough book, clinical psychologist Lindsay Gibson exposes the destructive nature of parents who are emotionally immature or unavailable. You will see how these parents create a sense of neglect, and discover ways to heal from the pain and confusion caused by your childhood. By freeing yourself from your parents’ emotional immaturity, you can recover your true nature, control how you react to them, and avoid disappointment. Finally, you’ll learn how to create positive, new relationships so you can build a better life. Discover the four types of difficult parents: The emotional parent instills feelings of instability and anxiety The driven parent stays busy trying to perfect everything and everyone The passive parent avoids dealing with anything upsetting The rejecting parent is withdrawn, dismissive, and derogatory",284.0,BOOK,['Self-Help'],,,en
Jolene -- Adventures of a Junk Food Queen,,,,,,,,,,,
The Tale of the Other Glove (On Being),"Western Classics, Historical Novels & Tales of the Old West by B. M. Bower (Illustrated)",['B. M. Bower'],Good Press,2024-01-16,"In the collection of Western Classics, Historical Novels & Tales of the Old West by B. M. Bower (Illustrated), readers are transported into the rugged and unpredictable world of the American frontier. Bower masterfully captures the essence of the Old West through her compelling storytelling and vivid descriptions of the landscape, characters, and daily struggles of the time. The collection is a valuable literary contribution that offers insight into the historical and cultural context of the West, making it a must-read for fans of Western literature. Bower's attention to detail and authentic portrayal of the era immerse readers in a bygone age, showcasing the harsh realities and heartfelt moments that defined the Western experience.",5219.0,BOOK,['Fiction'],,,en
Around the World: Marcel Makes a Sacrifice — Canada,,,,,,,,,,,
Sally Hemingway and the STEM Contest (The Number Investigators),,,,,,,,,,,
The Land of Lost Passies,The Congregationalist,[],,1914,,1972.0,BOOK,['Boston (Mass. )'],,,en
"Little Lizzy, Her Cousin Lori, and the Not-So-Bucket-Filling Friends","Little Lizzy, Her Cousin Lori, and the Not-So-Bucket-Filling Friends",['Liz Caesar'],,2022-08-13,"Little Lizzy was bullied. Dr. Liz was bullied too. Like so many, Dr. Liz never reported the repeated offenses to school officials or her family. She now hopes that this book will encourage anyone being bullied to tell someone.",0.0,BOOK,[],,,en
Clever Cub Gives Thanks to God,Clever Cub Gives Thanks to God,['Bob Hartman'],David C Cook,2022-11-15,"Clever Cub is a curious little bear who LOVES to cuddle up with the Bible and learn about God. Clever Cub wants to give thanks to God but doesn’t know how. So Mama Bear tells the story of Peter and John healing a man—a man who then gave thanks to God in a wonderful way! This engaging picture book: Tells the story of God's healing in Acts 3. Teaches children ages 3-6 the joy of showing gratitude to God. Includes questions about the story’s theme and ideas for learning more in the Bible. Clever Cub Gives Thanks to God is part of the delightful Clever Cub children’s book series. Also check out Clever Cub Welcomes Baby Jesus, Clever Cub Explores God’s Creation, and Clever Cub Sings to God.",13.0,BOOK,['Juvenile Fiction'],,,en
On The Farm - Children's Padded Board Book,"On the Farm: Look Up, Look Down, Look Around",['Jaye Garnett'],Cottage Door Press,2018,3 board book parts bound vertically to padded cover.,0.0,BOOK,['Animals'],,,en
That's What Leprechauns Do,That is what Leprechauns Do,['Eve Bunting'],Houghton Mifflin Harcourt,2005,"When leprechauns Ari, Boo, and Col need to place the pot of gold at the end of the rainbow, they cannot help getting into mischief along the way.",36.0,BOOK,['Juvenile Fiction'],,,en
"Hello, Baby Animals: A Black-and-White Board Book for Babies That Helps Visual Development (High-Contrast Books)","Hello, Garden Bugs",['duopress labs'],duopress,2017-03-14,"Ladybugs, snails, and butterflies! Oh my! This charming introduction to ten garden bugs, paired with friendly text and bold, basic patterns, provides a great high-contrast experience for young developing eyes. Newborns cannot fully recognize colors, so the sharp contrast between black and white patterns and illustrations allows babies to follow along and make connections to the real world, an important building block for communication skills. Using simple greetings like “Hello, bumblebee"" and “Good to see you, dragonfly” alongside black-and-white art by Julissa Mora, Hello, Garden Bugs is the perfect board book for babies just beginning to look around and learn about their world. Featured in Omnivoracious. Also available: Hello, Baby Animals and Hello, Ocean Friends. Coming soon: Hello, My World.",11.0,BOOK,['Juvenile Nonfiction'],,,en
The Christmas Scorpion: A Jack Reacher Story,The Christmas Scorpion: A Jack Reacher Story,['Lee Child'],Delacorte Press,2018-10-02,"THE #1 NEW YORK TIMES BESTSELLING JACK REACHER SERIES THAT INSPIRED TWO MAJOR MOTION PICTURES AND THE HIT STREAMING SERIES REACHER Jack Reacher’s spending the holidays in California. The last thing he expects is a blizzard—or a visit from the world’s deadliest assassin. On Christmas Eve, Jack Reacher stumbles into a no-name bar in the California desert, desperate to take refuge from an unexpected snowstorm. Reacher came to Barstow for a little R&R. Instead, he’s sequestered in a dark little roadhouse with a bartender, a bewildered elderly couple—and two members of Britain’s Royal Military Police. They tell Reacher they were escorting a VIP to a top-secret meeting at a U.S. military base when they became separated from their charge. That’s when the threat came in from a notorious assassin: the Christmas Scorpion. Now they need a miracle to save the day. Or maybe all they need is Jack Reacher.",36.0,BOOK,['Fiction'],5.0,1.0,en
I'll Love You Till the Cows Come Home Board Book,I'll Love You Till the Cows Come Home Padded Board Book,['Kathryn Cristaldi'],HarperFestival,2023-02-07,"Now available as a padded board book with a soft padded front cover! Love knows no bounds in this tender tribute to the depths of family love. For fans of Guess How Much I Love You--only funnier! Makes a good baby shower or Valentine's Day gift. This book extends the saying ""I'll love you till the cows come home"" to the humorous extreme. Along the way, there are yaks in Cadillacs, sheep setting sail, frogs on big-wheeled bikes, and more, in this great read-aloud. I'll Love You Till the Cows Come Home is filled with warm, funny art and rhythmic, romping text, perfect for curling up with your little one at the end of the day...or anytime you want to express your love. I will love you till the cows come home from a trip to Mars through skies unknown, in a rocket ship made of glass and stone... I will love you till the cows come home. This padded board book edition features a soft padded front cover that little hands will find easy to grip and hold!",0.0,BOOK,[],,,en
Escaping Peril: A Graphic Novel (Wings of Fire Graphic Novel #8) (Wings of Fire Graphix),Escaping Peril: A Graphic Novel (Wings of Fire Graphic Novel #8),['Tui T. Sutherland'],Scholastic Inc.,2024-12-24,"The graphic novel adaptations of the #1 New York Times bestselling Wings of Fire series continue to set the world on fire! Peril has been loyal to Queen Scarlet, who used her fatal firescales to kill countless dragons in the SkyWing arena. Now, Peril is loyal to Clay, the only dragonet who has ever been her friend. So when Scarlet threatens Jade Mountain Academy, Peril sets off to find her former queen, stop her, and save the day, no matter what it takes. There's just one problem: a strangely persistent SeaWing, Turtle, insists on coming along, too. Turtle is worried about his friends, who left to search for Scarlet and haven't returned. Peril is worried that she might accidentally burn Turtle -- or burn him on purpose, for being so annoying -- and frustrated that she keeps saying and doing the wrong things. She can't escape her firescales, and she can't escape her reputation as the deadliest dragon in Pyrrhia. So when she's offered a chance to trade everything for a new life, Peril has to decide who she's really loyal to . . . and whether her own scales might actually be worth saving. The #1 New York Times bestselling Wings of Fire series soars to new heights in the eighth graphic novel adaptation, with art by Mike Holmes.",229.0,BOOK,['Juvenile Fiction'],,,en
"Richard Scarry's Busy, Busy World","Richard Scarry's Busy, Busy World",[],,1972,,92.0,BOOK,['Animals'],,,en
The Story of Jesus: A Christian Book for Kids (Little Golden Book),My Little Golden Book About God,['Jane Werner Watson'],Golden Inspirational,2013-05-29,"This poetic book illustrates how even the tiniest things that we might take for granted, like the “jewels on the insect’s back,” are part of God’s great plan. A comforting, gentle introduction to the concept of God, it is one of the most beautifully written and illustrated books on the Golden list.",26.0,BOOK,['Juvenile Fiction'],5.0,1.0,en
Baby Einstein - Rainbow Bath! Waterproof Bath Book / Bath Toy - PI Kids,Disney Baby Splishy Fishy,"['I. Kids P', 'Pi Kids']",p i kids,2020-08,"Take to the tub with this little book of rhymes about bath time! Babies and toddlers will love seeing their favorite Disney characters as they read and play with this plastic, waterproof book that floats in the bathtub.",6.0,BOOK,[],,,en
Time of the Child,Time of the Child,['Niall Williams'],Bloomsbury Publishing USA,2024-11-19,"""I am such a fan of Niall Williams."" -Ann Patchett, New York Times bestselling author of Tom Lake From the author of This Is Happiness, a compassionate, life-affirming novel about the Christmas season that transforms the small Irish town of Faha. Doctor Jack Troy was born and raised in Faha, but his responsibilities for the sick and his care for the dying mean he has always been set apart from the town. His eldest daughter, Ronnie, has grown up in her father's shadow, and remains there, having missed one chance at love – and passed up another offer of marriage from an unsuitable man. But in the Advent season of 1962, as the town readies itself for Christmas, Ronnie and Doctor Troy's lives are turned upside down when a baby is left in their care. As the winter passes, father and daughter's lives, the understanding of their family, and their role in their community are changed forever. Set over the course of one December in the same village as Williams' beloved This Is Happiness, Time of the Child is a tender return to Faha for readers who know its charms, and a heartwarming welcome to new readers entering for the very first time.",305.0,BOOK,['Fiction'],,,en
Bedtime Prayers for Little Ones (Max Lucado’s Bedtime Prayers for Little Ones),Bedtime Prayers for Little Ones,"['Max Lucado', 'Denalyn Lucado']",Tommy Nelson,2023-01-03,"""Hearts filled with prayer will snuggle into sweet dreams. Settle into a peaceful night with these simple rhyming prayers and short scriptures that help little ones learn the value of prayer and end each day with the Lord.""--back of cover.",11.0,BOOK,['Juvenile Nonfiction'],,,en
Trouble Finds Her Family: Trouble's Tales,Trouble's Garden,['Robert Reynolds'],Lulu.com,2016-02-05,"TROUBLE'S GARDEN is a heartwarming tale of a cat lost, then found by a caring family. The family's young daughter takes a special liking to the old cat and they become inseparable. Throughout this family-friendly story the mother tends to her splendid flower garden, a spot in which Trouble the cat has taken as her own. The affection between the cat and her humans grows as summer flowers blossom in beautiful hues. TROUBLE'S GARDEN is a poignant tale of a special bond between the gentle animal and young child, leaving the reader both happy and sad as April learns to cope with unexpected surprises.",82.0,BOOK,['Pets'],,,en
"Storie della Buonanotte per Bambini: Racconti Fantastici per Dormire Felici e Calmi, con Avventure Dove la Paura Fa Sorridere, tra Coraggio, Amicizia e la Magia della Notte (Italian Edition)",Il Sentiero dei Sogni,['Giuseppe Editore'],Independently Published,2024-12-10,"Il Sentiero dei Sogni è una raccolta di dolci fiabe pensate per accompagnare i bambini dai 5 ai 7 anni verso un sonno sereno e pieno di meraviglia. Ogni racconto trasporta i piccoli lettori in mondi fantastici e incantati, dove incontreranno animali parlanti, stelle che brillano di magia e coraggiosi piccoli eroi che affrontano avventure straordinarie. Le storie, semplici e delicate, sono scritte con uno stile chiaro e rassicurante, perfetto per la lettura serale. Ciascuna fiaba è arricchita da un messaggio positivo, come il valore dell'amicizia, il coraggio di essere se stessi e la bellezza della fantasia. Grazie alla lunghezza breve di ogni racconto e ai finali felici, Il Sentiero dei Sogni è la scelta ideale per rendere il momento della buonanotte un'esperienza rilassante, con storie che calmano e preparano i piccoli a sognare mondi fantastici. I genitori troveranno in questo libro un valido alleato per creare una routine serena e affettuosa prima del sonno. Cosa troverai in questo libro: + di 20 fiabe originali che invitano alla calma e alla fantasia Protagonisti teneri e magici, come coniglietti sognatori, stelle timide e gattini coraggiosi Messaggi positivi su coraggio, amicizia e accettazione di sé Un linguaggio semplice e adatto all'età per facilitare la comprensione e l'immaginazione dei bambini Finali tranquilli e rasserenanti, perfetti per concludere la giornata con dolcezza Perché scegliere Il Sentiero dei Sogni? Questo libro è stato pensato per creare una connessione speciale tra genitori e bambini durante il momento più rilassante della giornata: la buonanotte. Le storie, dolci e magiche, incoraggiano i piccoli a sviluppare l'immaginazione e li aiutano a fare sogni d'oro. Ogni fiaba è un piccolo passo sul sentiero verso sogni incantati.",0.0,BOOK,['Juvenile Fiction'],,,it
FOGGY GOES TO SPACE: A motivational adventure story for curious children and early readers.,A Trip Into Space: An Adventure to the International Space Station,['Lori Haskins Houran'],Weigl Publishers,2014-08-01,"AV2 Fiction Readalong by Weigl brings you timeless tales of mystery, suspense, adventure, and the lessons learned while growing up. These celebrated children’s stories are sure to entertain and educate while captivating even the most reluctant readers. Log on to www.av2books.com, and enter the unique book code found on page 2 of this book to unlock an extra dimension to these beloved tales. Hear the story come to life as you read along in your own book.",26.0,BOOK,['Juvenile Fiction'],,,en
The Book with No Pictures,The Book With No Pictures,['B. J. Novak'],Penguin UK,2014-12-04,"You might think a book with no pictures seems boring and serious. Except . . . here's how books work. Everything written on the page has to be said by the person reading it aloud. Even if the words say . . . BLORK. Or BLUURF. And even if the words include things like BLAGGITY BLAGGITY and MY HEAD IS MADE OF BLUEBERRY PIZZA! That's the rule. That's the deal. Brilliantly irreverent and very, very silly, The Book With No Pictures will delight kids and have them begging for more. From award-winning US comic writer and actor, B.J. Novak.",56.0,BOOK,['Juvenile Fiction'],5.0,2.0,en
Flash Cards: Sight Words,Flash Cards: Sight Words,['Alain Gree'],Flash Cards,2016-10,,52.0,BOOK,[],,,en
The Runaway Bunny,The Runaway Bunny,['Margaret Wise Brown'],Harper Collins,1977-10-12,Clement Hurd redrew some of his pictures for this new edition of the profoundly comforting story of a bunny's imaginary game of hide-and-seek and the lovingly steadfast mother who finds him every time.,52.0,BOOK,['Juvenile Fiction'],,,en
Bluey: Fun and Games: A Coloring Book,Bluey: Fun and Games: a Coloring Book | Spiraling FreedomTM,['Penguin Young Readers Licenses'],,2023-01-03,,0.0,BOOK,[],,,en
The Little Gardener (Teenie Greenies),The Little Gardener,['Julie Cerny'],Chronicle Books,2020-03-10,"The Little Gardener is an engaging illustrated guide for parents, grandparents, caregivers, and educators who want to help children explore the natural world through gardening. Part how–to, part teaching tool, and part inspiration, The Little Gardener is a thoughtful combination of detailed instructions, tips, anecdotes, and seasonal activities designed to connect gardeners to natural systems. With fun projects, useful charts, and creative journal prompts, The Little Gardener shows gardeners of all ages how to envision and build their garden together by making the process an adventure to be treasured, with much to learn along the way.",224.0,BOOK,['Gardening'],,,en
"77 Memory Verses Every Kid Should Know, Ages 5-8 (77 for Kids Editions)",Reporter's Guide for Church Newsletters,['Communication Resources'],,1992,,8.0,BOOK,['Church newsletters'],,,en
I Need a New Butt!,I Need a New Butt!,"['Dawn McMillan', 'Ross Kinnaird']",Courier Corporation,2014-06-20,A boy notices his butt has a huge crack! Will he replace it with an armor-plated butt? A rocket butt? A robot butt? Find out in this quirky storybook!,34.0,BOOK,['Juvenile Fiction'],3.0,3.0,en
"The Mosquito Burrito: A Hilarious, Rhyming Children's Book",The Mosquito Burrito,['Didi Dragon'],,2023-06-16,"A deliciously funny read-aloud about a mosquito with too big of an apetito! One day, Mosquito finds himself stuck inside a scrumptious burrito. But just as he's about to make his great escape, his stomach grumbles with hunger, ""Necesito some burrito!"". Little does Mosquito know that bite after bite will lead to an unexpected but hilarious ending. This lively tale, sprinkled with rhyming Spanish words, introduces young readers to the joy of language exploration. As Mosquito's escapades unfold, children will giggle at the playful integration of simple Spanish vocabulary. It's the perfect summer read-aloud for children ages 3-7!",0.0,BOOK,[],,,en
Bluey: Easter,Bluey: Easter,['Bluey'],Penguin UK,2023-02-16,"Celebrate Easter with Bluey! It's Easter and Bingo is worried the Easter bunny has forgotten about her and Bluey like last year. But when they wake up to a series of clues, Bluey and Bingo are led on an exciting Easter egg treasure hunt around the house! Join Bluey and Bingo on this fun adventure around the Heelers' home. Want more Bluey? Also available: Bluey: Fun and Games Colouring Book Bluey: Meet Bluey! Sticker Activity Book Bluey: Bluey and Friends Sticker Activity Book",34.0,BOOK,['Juvenile Fiction'],,,en
Those Shoes,Those Shoes,['Maribeth Boelts'],Candlewick Press,2016-10-11,"But all the kids are wearing them! Any child who has ever craved something out of reach will relate to this warm, refreshingly realistic story. Features an audio read-along. ""I have dreams about those shoes. Black high-tops. Two white stripes."" All Jeremy wants is a pair of those shoes, the ones everyone at school seems to be wearing. But Jeremy’s grandma tells him they don’t have room for ""want,"" just ""need,"" and what Jeremy needs are new boots for winter. When Jeremy’s shoes fall apart at school, and the guidance counselor gives him a hand-me-down pair, the boy is more determined than ever to have those shoes, even a thrift-shop pair that are much too small. But sore feet aren’t much fun, and Jeremy comes to realize that the things he has -- warm boots, a loving grandma, and the chance to help a friend -- are worth more than the things he wants.",41.0,BOOK,['Juvenile Fiction'],,,en
The Jesus Storybook Bible: Every Story Whispers His Name,The Jesus Storybook Bible,['Sally Lloyd-Jones'],,2009-09-28,A collection of Bible stories invites young readers to discover that Jesus is the center of God's great story of salvation.,0.0,BOOK,['Audiobooks'],,,en
A Long Walk to Water: Based on a True Story,A Long Walk to Water,['Linda Sue Park'],Houghton Mifflin Harcourt,2010,"The New York Times bestseller A Long Walk to Water begins as two stories, told in alternating sections, about two eleven-year-olds in Sudan, a girl in 2008 and a boy in 1985. The girl, Nya, is fetching water from a pond that is two hours' walk from her home: she makes two trips to the pond every day. The boy, Salva, becomes one of the ""lost boys"" of Sudan, refugees who cover the African continent on foot as they search for their families and for a safe place to stay. Enduring every hardship from loneliness to attack by armed rebels to contact with killer lions and crocodiles, Salva is a survivor, and his story goes on to intersect with Nya's in an astonishing and moving way.",145.0,BOOK,['Juvenile Fiction'],5.0,1.0,en
"So, You Want to be an Athlete?","So, You Want to be an Athlete?",['Brandin Bryant'],Palmetto Publishing,2024-01-16,"Unlock the door to athletic success and academic excellence - a transformative journey for every young sports enthusiast! Every young sports enthusiast will find a beacon of motivation in the transformative pages of Oh, So You Want to Be an Athlete? This unique book opens up a world where sports and studies harmoniously coexist, leading to the birth of true athletic success. Designed as a series of enlightening statements directed at the reader, the book provides invaluable insights into the challenging yet rewarding world of sports. These aren't just words of wisdom from an NFL professional, but a roadmap to achieving dreams and carving out a path to success. Do you have dreams of making the winning touchdown, crossing the finish line first, or hitting the perfect home run? This book tells you that these dreams are possible but come with the responsibility of nurturing a growth mindset, a strong work ethic, and an unwavering belief in oneself. It stresses the equal importance of excelling in the classroom, demonstrating that academic achievement and athletic prowess are not mutually exclusive, but rather two sides of the same coin. Through engaging statements and vivid illustrations, Oh, So You Want to Be an Athlete? serves as a constant reminder that success is more than winning games. It's about balancing sports with studies, overcoming hurdles, and keeping a positive outlook. It's about understanding that every great athlete is first a dedicated student. Embark on this empowering journey and discover how you, too, can achieve your dreams both on the field and in the classroom!",0.0,BOOK,[],,,en
