,Title,Price,Currency,Rating,Number of reviews,Original Price,Main Genre
79,8 Little Planets: A Solar System Book for Kids with Unique Planet Cutouts,5.89,$,4.8,9399.0,10.99,Children's book
80,It's Not Easy Being a Bunny: An Early Reader Book for Kids (Beginner Books),5.98,$,4.8,20110.0,9.99,Children's book
81,This I Know: Seeing God in the World He Made (Based on Jesus Loves Me),12.99,$,4.9,3137.0,17.95,Children's book
82,The Mitten,8.98,$,4.8,7788.0,9.99,Children's book
83,The Going To Bed Book,5.02,$,4.8,18850.0,6.99,Children's book
84,One Fish Two Fish Red Fish Blue Fish,5.98,$,4.9,20282.0,9.99,Children's book
85,Dinos Love Donuts (Mythical Feasts),13.91,$,4.3,718.0,15.95,Children's book
86,Dr. Seuss's Ultimate Beginning Reader Boxed Set Collection: Includes 16 Beginner Books and Bright & Early Books,109.25,$,4.9,477.0,159.84,Children's book
87,Grandpa's Promise,9.99,$,4.8,690.0,9.99,Children's book
88,"Ocean Stories for Kids: Exploring Maritime Mysteries, Sea Monsters, and Hidden Treasures",14.95,$,,,14.95,Children's book
89,You're My Little Baby: A Touch-and-Feel Book (The World of Eric Carle),4.11,$,4.8,2991.0,7.99,Children's book
90,You're My Little Lucky Charm,7.98,$,4.9,1304.0,9.99,Children's book
91,The Rabbit Listened,11.8,$,4.9,4913.0,18.99,Children's book
92,"You are an Amazing Girl: A Collection of Inspiring Stories about Courage, Friendship, Inner Strength and Self-Confidence (Motivational Books for Children)",9.99,$,4.8,5766.0,13.9,Children's book
93,Wild Animals: A Touch and Feel Book - Children's Board Book - Educational,8.99,$,4.8,5333.0,9.99,Children's book
94,The Boy in the Striped Pajamas,8.83,$,4.6,31644.0,12.99,Children's book
95,I Am a Big Brother (Caroline Jayne Church),6.5,$,4.8,17123.0,6.5,Children's book
96,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,15.3,$,4.7,31513.0,23.99,Children's book
97,I Wish You More,7.99,$,4.8,9516.0,14.99,Children's book
98,Green Eggs and Ham,5.98,$,4.9,26107.0,9.99,Children's book
99,The World Needs the Wonder You See,11.99,$,4.6,96.0,19.99,Children's book
100,Llama Llama Red Pajama,6.08,$,4.9,12979.0,8.99,Children's book
101,World's Greatest Library: A Collection of 200 Inspiring Personalities (Box Set of 8 Biographies),35.99,$,4.4,706.0,39.99,Children's book
102,"Jesus Said, Come, Follow Me",16.99,$,4.8,10.0,16.99,Children's book
103,"Vicky and the Lost Star: A Heartwarming Children's Adventure of Love and Compassion, and a Cautionary Tale about the Perils of Pranks Gone Too Far (Little Problem Solver Adventures)",9.9,$,4.2,9.0,9.9,Children's book
104,Black Shadow,1.99,$,5.0,2.0,7.99,Children's book
105,Amir Gets a Raptor (Amir's Adventures),11.99,$,5.0,14.0,11.99,Children's book
106,"House Mouse, Senate Mouse (Little Patriot Press)",16.6,$,4.8,85.0,17.99,Children's book
107,The Trouble with Children (According to Dog),12.95,$,4.7,696.0,18.95,Children's book
108,There Was an Old Lady Who Swallowed a Clover!,5.9,$,4.8,2793.0,6.99,Children's book
109,"365 Bedtime Stories and Rhymes: Short Bedtime Stories, Nursery Rhymes and Fairy Tales Collections for Children",12.99,$,4.8,16778.0,16.99,Children's book
110,Five Little Monkeys Jumping on the Bed Padded Board Book (A Five Little Monkeys Story),6.99,$,4.9,4724.0,11.99,Children's book
111,"The Girl Who Makes a Million Mistakes: A Growth Mindset Book for Kids to Boost Confidence, Self-Esteem and Resilience (A Million Mistakes Series)",9.99,$,4.5,2263.0,13.99,Children's book
112,If Animals Kissed Good Night,4.76,$,4.8,75615.0,7.99,Children's book
113,The Big Book of Silly Jokes for Kids,5.99,$,4.7,24361.0,9.99,Children's book
114,"Good Night, Little Bear - A Sleepy-Time Tale",2.99,$,4.7,2799.0,2.99,Children's book
115,The True Story of the Three Little Pigs,5.95,$,4.9,6929.0,8.99,Children's book
116,How to Catch a Unicorn,6.63,$,4.8,36533.0,10.99,Children's book
117,"Baby Einstein - My First Library Board Book Block 12-Book Set - First Words, Alphabet, Numbers, and More! - PI Kids",9.36,$,4.7,10689.0,15.99,Children's book
118,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",3.89,$,4.9,24972.0,7.99,Children's book
119,Chloe and the Mermaid Club: A Mermaid Girls Chapter Book (Mermaid Girls Chapter Books),8.24,$,4.6,96.0,8.24,Children's book
120,The Trouble with Children (According to Cat),17.06,$,4.6,171.0,18.95,Children's book
121,Welcome Little One - Children's Padded Board Book - Family,9.99,$,4.7,48.0,9.99,Children's book
122,What Should Danny Do? (The Power to Choose Series),11.03,$,4.8,24828.0,21.99,Children's book
123,Holes (Holes Series),6.99,$,4.7,33813.0,8.99,Children's book
124,There's No Place Like Space! All About Our Solar System (The Cat in the Hat's Learning Library),5.98,$,4.8,27114.0,9.99,Children's book
125,Noisy Baby Animals: Includes Six Sounds! (My First),7.25,$,4.8,2917.0,14.99,Children's book
126,"The Giver: A Newbery Award Winner (Giver Quartet, 1)",7.0,$,4.6,42754.0,11.99,Children's book
127,Little Blue Truck Board Book,6.8,$,4.9,6140.0,10.99,Children's book
128,The Monster at the End of This Book,4.78,$,4.9,30556.0,5.99,Children's book
129,I Am a Big Sister (Caroline Jayne Church),6.5,$,4.8,15392.0,6.5,Children's book
130,How to Catch a Mermaid,8.28,$,4.8,34423.0,10.99,Children's book
131,Sneezy the Snowman,9.29,$,4.8,10752.0,9.99,Children's book
132,The Poky Little Puppy (A Little Golden Book Classic),4.64,$,4.8,10016.0,5.99,Children's book
133,Bluey: Big Backyard: A Coloring Book,4.54,$,4.8,6150.0,6.99,Children's book
134,The Adventures of Snowy & Violet: Violet Duck EGGS-traordinaire,13.99,$,3.3,6.0,13.99,Children's book
135,Here at the Castle (Abide With Me),19.95,$,4.8,39.0,19.95,Children's book
136,"That's Why I Love You, Snicklefritz!",8.99,$,4.6,17.0,8.99,Children's book
137,Life of Ham,10.99,$,5.0,2.0,10.99,Children's book
138,The Quiet Moments: A children's book about finding beauty in life's quiet moments.,12.99,$,,,12.99,Children's book
139,Shelly the Seagull's Long Beach Island Adventures: An enchanting children's story for anyone who cherishes the magic of Long Beach Island.,12.3,$,,,12.95,Children's book
140,My First Book of Planets: All About the Solar System for Kids,4.07,$,4.8,16443.0,7.99,Children's book
141,Sleep Like a Tiger: A Caldecott Honor Award Winner (Caldecott Medal - Honors Winning Title(s)),11.99,$,4.8,1779.0,19.99,Children's book
142,Little Blue Truck's Valentine,9.0,$,4.9,11476.0,13.99,Children's book
143,Happy St. Patrick's Day from the Crayons,6.2,$,4.6,112.0,9.99,Children's book
144,I Am Glinda (Universal Pictures Wicked) (Little Golden Book),5.57,$,4.8,219.0,5.57,Children's book
145,God Gave Us You,6.19,$,4.9,21502.0,10.99,Children's book
146,Madeline,5.89,$,4.8,4307.0,9.99,Children's book
147,I Prayed for You (I Pray for You),6.29,$,4.9,9130.0,8.99,Children's book
148,Noisy Farm: Includes Six Sounds! (My First),6.97,$,4.8,2336.0,14.99,Children's book
149,Little Hippo Books Can You Tickle a Turtle? - Children's Sensory Board Book with Touch and Feel Trails,9.89,$,4.8,275.0,10.99,Children's book
150,How to Catch a Star,13.34,$,4.8,3489.0,19.99,Children's book
151,Never Let a Unicorn Wear a Tutu! (Funny Unicorn Picture Book series For Ages 4-8),9.89,$,4.8,5263.0,10.99,Children's book
152,The Adventures of Peepers in English and Spanish (The Adventures of Peepers | Bilingual Children's Books With Illustrations | English/Spanish/French/Italian/German) (Spanish Edition),17.49,$,5.0,6.0,17.49,Children's book
153,The Garden of Friendship: A Tale of Teamwork and Harmony,13.99,$,,,13.99,Children's book
154,Who’s Hiding? (1) (My First Baby Books),13.99,$,,,13.99,Children's book
155,Don't Let the Pigeon Drive the Sleigh!,10.44,$,4.9,1463.0,18.99,Children's book
156,The Little Engine That Could: An Abridged Edition,5.34,$,4.8,965.0,6.99,Children's book
157,Grandma Loves You!,7.11,$,4.9,7436.0,7.99,Children's book
158,Where the Sidewalk Ends: Poems and Drawings,11.7,$,4.9,11845.0,19.99,Children's book
159,"Good Night, Farm",6.06,$,4.8,286.0,12.99,Children's book
160,The World Needs Who You Were Made to Be,10.99,$,4.9,7591.0,19.99,Children's book
161,The One and Only Ivan: A Newbery Award Winner,6.59,$,4.8,27746.0,10.99,Children's book
162,"Moo, Baa, La La La!",5.52,$,4.8,19638.0,6.99,Children's book
163,We're Going on an Egg Hunt: A Lift-the-Flap Adventure (The Bunny Adventures),6.99,$,4.8,455.0,9.99,Children's book
164,I Love You More - Children's Padded Board Book,9.99,$,4.9,1440.0,9.99,Children's book
165,Spring Sings,9.75,$,5.0,14.0,14.99,Children's book
166,Why a Daughter Needs a Mom: Celebrate Your Special Mother Daughter Bond with this Sweet Picture Book! (Always in My Heart),7.66,$,4.9,6335.0,10.99,Children's book
167,The Charm (No. 1): A Children's Book About Courage (The Charm series),12.95,$,5.0,39.0,12.95,Children's book
168,The Land of La: A Wheezy Tweet Adventure (Ralph Bourne),9.22,$,4.2,2.0,9.22,Children's book
169,I Wish You Happiness,9.99,$,4.8,1756.0,17.99,Children's book
170,Don't Forget ... You're Amazing!,15.99,$,5.0,9.0,15.99,Children's book
171,The Apple Bear Cookie Book (ABC Book),11.99,$,5.0,7.0,13.49,Children's book
172,Meeting Our Outer Space Neighbors: The Origin Story Begins with Mercury: Part I,7.99,$,,,7.99,Children's book
173,Are You My Mother ?,5.59,$,4.8,20820.0,9.99,Children's book
174,The Snowy Day,6.81,$,4.9,10589.0,8.99,Children's book
175,I Am Elphaba (Universal Pictures Wicked) (Little Golden Book),4.99,$,4.8,252.0,5.99,Children's book
176,"World of Eric Carle, My First Library 12 Board Book Set - First Words, Alphabet, Numbers, and More! Baby Books - PI Kids",9.68,$,4.7,10074.0,16.99,Children's book
177,"Good Night, Forest: A Cozy Goodnight Book with Bedtime Stories and Rhymes for Toddlers and Kids",15.01,$,5.0,13.0,15.99,Children's book
178,I'll Love You Till the Cows Come Home Board Book,6.1,$,4.9,4708.0,9.99,Children's book
179,The Pout-Pout Fish,5.0,$,4.8,27019.0,7.99,Children's book
180,Ten Lucky Leprechauns,3.99,$,4.8,1529.0,3.99,Children's book
181,Never Touch a Porcupine!,5.71,$,4.8,5619.0,10.99,Children's book
182,Mr. Brown Can Moo! Can You? (Bright & Early Books),5.98,$,4.8,9074.0,9.99,Children's book
183,"You Are Special (Max Lucado's Wemmicks) (Max Lucado's Wemmicks, 1) (Volume 1)",9.98,$,4.9,6636.0,17.99,Children's book
184,The 50 States: Explore the U.S.A. with 50 fact-filled maps!,14.76,$,4.8,3390.0,30.0,Children's book
185,The Adventures of Peepers in English and French (The Adventures of Peepers | Bilingual Children's Books With Illustrations | English/Spanish/French/Italian/German) (French Edition),17.49,$,5.0,2.0,17.49,Children's book
186,"Butter's Puddle of Trouble: Learning the fruits of the spirit, one oops' at a time",8.99,$,,,8.99,Children's book
187,FOGGY GOES TO SPACE: A motivational adventure story for curious children and early readers.,11.99,$,5.0,7.0,11.99,Children's book
188,Wish,5.54,$,4.7,19208.0,7.99,Children's book
189,The Berenstain Bears' St. Patrick's Day,4.64,$,4.8,1539.0,5.99,Children's book
190,I Wish You Happiness,9.99,$,4.8,1756.0,17.99,Children's book
191,How to Catch an Elf,5.49,$,4.8,9092.0,10.99,Children's book
192,Richard Scarry's Cars and Trucks and Things That Go,10.79,$,4.9,6016.0,17.99,Children's book
193,All by Myself (Little Critter) (Look-Look),4.99,$,4.8,8499.0,5.99,Children's book
194,THE GREAT DANES Big Safari Adventure︱Children's Animal Book︱Humorous Family Children's Book About Adventure & Travel︱Celebration of Life & Friendship︱Ideal for Children Age 2 through 8,8.99,$,4.6,97.0,12.99,Children's book
195,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",8.09,$,4.8,7425.0,8.99,Children's book
196,When God Made You,6.86,$,4.9,19433.0,11.99,Children's book
197,Outside In: A Caldecott Honor Award Winner,11.99,$,4.8,529.0,19.99,Children's book
198,Stuck,12.19,$,4.7,2989.0,19.99,Children's book
199,The Night Before St. Patrick's Day,5.99,$,4.8,2600.0,5.99,Children's book
200,The Day God's Helper Came,17.99,$,,,17.99,Children's book
201,Puddles Gets a New Home,0.0,$,5.0,24.0,0.0,Children's book
202,"""Stellar adventures, exploring an inner world.""",17.0,$,,,17.0,Children's book
203,"Fears, Flights, and Kangaroo Fights (Magnificent Mulligans)",8.99,$,,,14.99,Children's book
204,Gwendolyn's Nutty Nutcracker,15.95,$,5.0,11.0,15.95,Children's book
205,Orcas: Guardians of the Deep,9.99,$,4.9,31.0,9.99,Children's book
206,A Long Walk to Water: Based on a True Story,6.17,$,4.7,25752.0,9.99,Children's book
207,"Little Red Sleigh: A Heartwarming Christmas Book For Children (Little Heroes, Big Hearts)",8.99,$,4.8,3896.0,17.99,Children's book
208,"Happy Valentine's Day, Mouse! (If You Give...)",5.77,$,4.8,5841.0,9.99,Children's book
209,Why a Daughter Needs a Dad: Celebrate Your Father Daughter Bond with this Special Picture Book! (Always in My Heart),7.99,$,4.9,18012.0,10.99,Children's book
210,The Mouse and the Motorcycle,5.49,$,4.7,4932.0,9.99,Children's book
211,Why a Son Needs a Mom: Celebrate Your Special Mother and Son Bond with this Sweet Picture Book! (Always in My Heart),6.05,$,4.9,4831.0,10.99,Children's book
212,Nursery Rhymes Board Book: Illustrated Classic Nursery Rhymes (My First Book series),6.5,$,4.7,5792.0,6.5,Children's book
213,The Kissing Hand (The Kissing Hand Series),9.91,$,4.9,8446.0,18.99,Children's book
214,The Wild Robot,0.0,$,4.8,13850.0,14.81,Children's book
215,"Hand, Hand, Fingers, Thumb (Bright & Early Board Books)",3.98,$,4.8,7862.0,5.99,Children's book
216,Love from The Very Hungry Caterpillar (The World of Eric Carle),6.78,$,4.8,5017.0,9.99,Children's book
217,"My First 100 Words - Mis Primeras 100 Palabras - English / Spanish First Words Bilingual Book, Ages 1-7 (en español)",6.29,$,4.8,1926.0,7.99,Children's book
218,Lillou - The Petit Chef: and the New Neighbors,14.99,$,4.6,10.0,14.99,Children's book
219,Thomas and Friends: My Red Railway Book Box (Bright & Early Board Books),10.19,$,4.8,5970.0,16.99,Children's book
220,"Dr. Seuss Bright & Early Book Boxed Set Collection: The Foot Book; Marvin K. Mooney Will You Please Go Now!; Mr. Brown Can Moo! Can You?, The Shape of ... a Wocket in My Pocket! (Bright & Early Books)",32.57,$,4.8,294.0,49.95,Children's book
221,"All the Animals: How to Draw Books for Kids with Dogs, Cats, Lions, Dolphins, and More (How to Draw For Kids Series)",10.5,$,4.8,1195.0,14.95,Children's book
222,The Foot Book: Dr. Seuss's Wacky Book of Opposites,3.98,$,4.8,11785.0,5.99,Children's book
223,I Need a Hug / Necesito un abrazo (Scholastic Bilingual) (Spanish Edition),4.64,$,4.7,1597.0,4.64,Children's book
224,Hands Are Not for Hitting (Board Book) (Best Behavior Series),7.99,$,4.8,9334.0,9.99,Children's book
225,"Dinosaur, Dinosaur, Say Good Night",6.42,$,4.8,3961.0,9.99,Children's book
226,Clifford's Good Deeds (Classic Storybook),4.19,$,4.8,2386.0,5.99,Children's book
227,The Tale of Peter Rabbit: A Story Board Book,5.79,$,4.7,10421.0,7.99,Children's book
228,Baby Touch and Feel: Animals,3.64,$,4.7,11950.0,7.99,Children's book
229,"Happy Easter, Mouse! (If You Give...)",7.99,$,4.8,3644.0,9.99,Children's book
230,How to Catch a Gingerbread Man,6.5,$,4.8,2785.0,10.99,Children's book
231,Big (Caldecott Medal Winner & Coretta Scott King Honor Title),10.54,$,4.8,579.0,19.99,Children's book
232,Cloudy With a Chance of Meatballs,8.08,$,4.8,4719.0,8.99,Children's book
233,The sun rises still,0.0,$,,,0.0,Children's book
234,Teddy Trims the Tree,0.0,$,5.0,1.0,0.0,Children's book
235,100 Little Lambs,16.99,$,4.8,14.0,16.99,Children's book
236,"Robin and Naira: Burrito Buddies!: A toy friendship story for early readers, emotional, heartwarming and funny. A story about courage and being yourself with coloured illustrations",12.9,$,5.0,4.0,12.9,Children's book
237,Wondogfilled,18.99,$,4.1,29.0,18.99,Children's book
238,Emma and the Mermaid Club: A Mermaid Girls Chapter Book (Mermaid Girls Chapter Books),8.24,$,4.5,89.0,8.24,Children's book
239,Lots of Knock-Knock Jokes for Kids,3.99,$,4.6,11586.0,6.99,Children's book
240,The Wide-Mouthed Frog (A Pop-Up Book),9.74,$,4.8,3945.0,14.99,Children's book
241,Mel Fell: A Caldecott Honor Award Winner,9.54,$,4.9,402.0,19.99,Children's book
242,The Berenstain Bears: That's So Rude!,4.79,$,4.8,1557.0,5.99,Children's book
243,Open the Barn Door...,3.74,$,4.7,7536.0,6.99,Children's book
244,The Snow Thief (The Leaf Thief),12.76,$,4.8,378.0,18.99,Children's book
245,The Gruffalo,8.36,$,4.9,16603.0,8.99,Children's book
246,How to Catch a Loveosaurus,6.99,$,4.7,761.0,10.99,Children's book
247,"I Love You More, Babysaur: A Sweet and Punny Dinosaur Board Book for Babies and Toddlers (Punderland)",6.23,$,4.8,1693.0,8.99,Children's book
248,Rudolph the Red-Nosed Reindeer (Rudolph the Red-Nosed Reindeer) (Little Golden Book),4.4,$,4.8,6291.0,5.99,Children's book
249,Make Way for Ducklings,11.43,$,4.9,3886.0,20.99,Children's book
250,Worm Weather (Penguin Core Concepts),3.99,$,4.7,1513.0,5.99,Children's book
251,Lily and the Magic Key: An Enchanted Park Adventure,20.0,$,,,20.0,Children's book
252,My First Baby Books: Three Interactive Books for the Little Ones (4),32.99,$,,,32.99,Children's book
253,"Magical Ocean Adventures: A Fun Sustainability Activity Book for Kids, Ages 3-6",9.99,$,5.0,8.0,9.99,Children's book
254,I Love You As Big As the World,6.61,$,4.9,966.0,8.95,Children's book
255,"The Hardest Hidden Pictures Book Ever: The Hardest Hidden Pictures Book Ever (Highlights Hidden Pictures Puzzles) Over 1,500 Hidden Objects to Search and Find, Hardest Look-and-Find Book",5.59,$,4.7,7259.0,9.95,Children's book
256,Love Makes a Family,6.44,$,4.9,3241.0,11.99,Children's book
257,"The Backyard Bug Book for Kids: Storybook, Insect Facts, and Activities (Let's Learn About Bugs and Animals)",4.07,$,4.8,13656.0,7.99,Children's book
258,The Berenstain Bears' Funny Valentine,4.74,$,4.7,605.0,5.99,Children's book
259,There's a Bear on My Chair (Ross Collins' Mouse and Bear Stories),7.54,$,4.8,4729.0,8.99,Children's book
260,Flash Cards: Sight Words,2.88,$,4.8,30539.0,3.49,Children's book
261,Why a Son Needs a Dad: Celebrate Your Father and Son Bond with this Heartwarming Gift! (Always in My Heart),6.62,$,4.9,5271.0,10.99,Children's book
262,A Bad Case of Stripes (Scholastic Bookshelf),7.16,$,4.8,5318.0,7.99,Children's book
263,It’s Time to Say Goodnight,5.99,$,4.7,240.0,5.99,Children's book
264,"Hello, Bedtime: A High-Contrast Board Book for Babies, Perfect for a Shower Gift (High-Contrast Books, 7)",5.77,$,4.8,125.0,7.99,Children's book
265,A Wrinkle in Time (Time Quintet),6.59,$,4.4,28130.0,8.99,Children's book
266,Leah Grace: Bedtime Adventure,11.99,$,4.9,152.0,11.99,Children's book
267,Enoch’s Adventures : The Kingdom Keys,0.0,$,5.0,3.0,0.0,Children's book
268,Infin - The Forever Snowman: The Fun Adventures of Infin the Forever Snowman: A Touching Bedtime Story for Kids About Faith and Miracles,0.0,$,2.7,3.0,0.0,Children's book
269,Historical Museums Hidden Objects Picture Book: Search for Hidden Objects in Renowned Museums,7.95,$,,,7.95,Children's book
270,Pilgrimage Paths Hidden Objects Picture Book: Search for Hidden Treasures Along Sacred Trails,7.95,$,,,7.95,Children's book
271,Unicorns Love Ice Cream (Mythical Feasts),13.94,$,4.6,182.0,15.49,Children's book
272,The New Baby,5.99,$,4.8,11232.0,5.99,Children's book
273,How to Catch a Snowman,6.94,$,4.8,4152.0,10.99,Children's book
274,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",5.79,$,4.8,5052.0,9.99,Children's book
